sample,step,block_states,solved
0,35,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,36,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,37,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,38,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 3]",True
0,39,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 0, 1, 1, 3, 3]",True
0,40,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 0, 1, 1, 3, 3]",True
0,41,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3]",True
0,42,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3]",True
0,43,"[2, 2, 1, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3]",True
0,44,"[2, 2, 1, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 0, 1, 2, 0, 0, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3]",True
0,45,"[2, 2, 1, 2, 1, 2, 3, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 2, 1, 2, 4, 0, 1, 2, 0, 0, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 3, 3]",True
